,Name,usage_weighed,raw_unweighed,usage_unweighed,raw_real,usage_real,elo
1,LandorusTherian,34.62%,1078878,27.93%,924182,31.18%,1500
2,GreninjaAsh,17.33%,622135,16.10%,450394,15.19%,1500
3,Ferrothorn,17.24%,622497,16.11%,528861,17.84%,1500
4,TapuKoko,16.44%,556308,14.40%,441526,14.89%,1500
5,Magearna,15.66%,460966,11.93%,365692,12.34%,1500
6,Heatran,15.09%,519057,13.44%,425595,14.36%,1500
7,Kartana,13.62%,459418,11.89%,335305,11.31%,1500
8,TapuLele,11.68%,360798,9.34%,269636,9.10%,1500
9,RotomWash,11.53%,389012,10.07%,327094,11.03%,1500
10,TornadusTherian,10.78%,327186,8.47%,254151,8.57%,1500
11,Zapdos,10.74%,352723,9.13%,282469,9.53%,1500
12,Garchomp,10.21%,386533,10.01%,304549,10.27%,1500
13,Toxapex,10.17%,378874,9.81%,293460,9.90%,1500
14,Serperior,9.33%,354944,9.19%,259342,8.75%,1500
15,Greninja,9.27%,331708,8.59%,251144,8.47%,1500
16,TapuFini,9.20%,289341,7.49%,236306,7.97%,1500
17,Excadrill,8.47%,293510,7.60%,226991,7.66%,1500
18,TapuBulu,8.40%,264035,6.84%,202819,6.84%,1500
19,Gliscor,8.12%,359879,9.32%,279615,9.43%,1500
20,Chansey,7.83%,289916,7.51%,218168,7.36%,1500
21,Victini,7.53%,238245,6.17%,183090,6.18%,1500
22,Hawlucha,7.45%,249893,6.47%,169748,5.73%,1500
23,Celesteela,7.42%,266537,6.90%,210850,7.11%,1500
24,Volcarona,7.36%,290687,7.53%,208263,7.03%,1500
25,Magnezone,6.75%,236927,6.13%,184888,6.24%,1500
26,LopunnyMega,6.65%,236838,6.13%,182315,6.15%,1500
27,CharizardMegaX,6.59%,260480,6.74%,192870,6.51%,1500
28,MawileMega,6.57%,208587,5.40%,153443,5.18%,1500
29,Kommoo,6.46%,222277,5.75%,163540,5.52%,1500
30,Clefable,6.39%,232944,6.03%,171312,5.78%,1500
31,MedichamMega,6.20%,197380,5.11%,154997,5.23%,1500
32,Pelipper,6.17%,215281,5.57%,197045,6.65%,1500
33,Tyranitar,6.06%,228326,5.91%,178405,6.02%,1500
34,AlakazamMega,6.05%,229775,5.95%,153357,5.17%,1500
35,SwampertMega,6.03%,215105,5.57%,174264,5.88%,1500
36,Tangrowth,5.71%,192597,4.99%,148587,5.01%,1500
37,ScizorMega,5.51%,192410,4.98%,147320,4.97%,1500
38,KyuremBlack,5.39%,184827,4.78%,136624,4.61%,1500
39,Skarmory,5.39%,204396,5.29%,170020,5.74%,1500
40,Blacephalon,4.92%,177567,4.60%,128421,4.33%,1500
41,CharizardMegaY,4.82%,199204,5.16%,155850,5.26%,1500
42,Jirachi,4.80%,171678,4.44%,131857,4.45%,1500
43,Azumarill,4.40%,183019,4.74%,136914,4.62%,1500
44,DiancieMega,4.33%,151108,3.91%,121282,4.09%,1500
45,TyranitarMega,4.17%,150489,3.90%,115036,3.88%,1500
46,GyaradosMega,3.87%,134560,3.48%,101601,3.43%,1500
47,Dragonite,3.86%,163384,4.23%,117514,3.96%,1500
48,Mew,3.37%,128909,3.34%,100323,3.38%,1500
49,Keldeo,3.33%,115283,2.98%,87808,2.96%,1500
50,VenusaurMega,3.33%,136527,3.53%,105994,3.58%,1500
51,Weavile,3.22%,131549,3.41%,96651,3.26%,1500
52,Mimikyu,2.97%,133371,3.45%,93700,3.16%,1500
53,SableyeMega,2.78%,110892,2.87%,96853,3.27%,1500
54,Gyarados,2.72%,101953,2.64%,77643,2.62%,1500
55,PinsirMega,2.48%,83841,2.17%,58615,1.98%,1500
56,Bisharp,2.36%,89810,2.33%,63855,2.15%,1500
57,Breloom,2.13%,95170,2.46%,71086,2.40%,1500
58,Gengar,2.11%,107368,2.78%,74950,2.53%,1500
59,Ditto,2.05%,71853,1.86%,52569,1.77%,1500
60,BeedrillMega,2.05%,88554,2.29%,67457,2.28%,1500
61,HoopaUnbound,2.00%,67231,1.74%,47117,1.59%,1500
62,Manaphy,1.97%,64250,1.66%,46298,1.56%,1500
63,LatiasMega,1.93%,57671,1.49%,42872,1.45%,1500
64,Mamoswine,1.91%,70291,1.82%,57466,1.94%,1500
65,Latios,1.83%,68586,1.78%,49457,1.67%,1500
66,ThundurusTherian,1.78%,66187,1.71%,51764,1.75%,1500
67,Hydreigon,1.78%,76009,1.97%,56502,1.91%,1500
68,MukAlola,1.78%,76058,1.97%,58418,1.97%,1500
69,Salamence,1.77%,78163,2.02%,56070,1.89%,1500
70,MarowakAlola,1.77%,62593,1.62%,47850,1.61%,1500
71,Gastrodon,1.77%,64937,1.68%,51904,1.75%,1500
72,NinetalesAlola,1.75%,76738,1.99%,61143,2.06%,1500
73,Cresselia,1.75%,57177,1.48%,44165,1.49%,1500
74,Zeraora,1.69%,79469,2.06%,59556,2.01%,1500
75,Infernape,1.64%,88958,2.30%,67840,2.29%,1500
76,GalladeMega,1.64%,71681,1.86%,50777,1.71%,1500
77,Torkoal,1.62%,57840,1.50%,52970,1.79%,1500
78,Kingdra,1.62%,62245,1.61%,44434,1.50%,1500
79,Cloyster,1.62%,80023,2.07%,59901,2.02%,1500
80,PorygonZ,1.61%,67993,1.76%,46934,1.58%,1500
81,Reuniclus,1.59%,52241,1.35%,37522,1.27%,1500
82,Scizor,1.56%,69412,1.80%,52435,1.77%,1500
83,ManectricMega,1.55%,63130,1.63%,50983,1.72%,1500
84,GarchompMega,1.54%,69808,1.81%,51980,1.75%,1500
85,Araquanid,1.51%,57638,1.49%,49058,1.66%,1500
86,Crawdaunt,1.49%,47764,1.24%,35169,1.19%,1500
87,Conkeldurr,1.47%,63072,1.63%,47906,1.62%,1500
88,Buzzwole,1.45%,52895,1.37%,39310,1.33%,1500
89,Ribombee,1.44%,48914,1.27%,42708,1.44%,1500
90,Venusaur,1.38%,54903,1.42%,41403,1.40%,1500
91,Staraptor,1.35%,65549,1.70%,49276,1.66%,1500
92,Nidoking,1.29%,56943,1.47%,44234,1.49%,1500
93,GardevoirMega,1.27%,63504,1.64%,42880,1.45%,1500
94,Hippowdon,1.25%,47210,1.22%,40798,1.38%,1500
95,LatiosMega,1.21%,40756,1.06%,30382,1.03%,1500
96,Xurkitree,1.21%,53268,1.38%,38910,1.31%,1500
97,Snorlax,1.20%,71200,1.84%,52316,1.77%,1500
98,HeracrossMega,1.20%,48642,1.26%,34864,1.18%,1500
99,Togekiss,1.18%,66910,1.73%,48367,1.63%,1500
100,Shuckle,1.14%,57760,1.50%,51063,1.72%,1500
101,Amoonguss,1.10%,43024,1.11%,32530,1.10%,1500
102,Darmanitan,1.09%,50868,1.32%,38911,1.31%,1500
103,Goodra,1.07%,52740,1.37%,39537,1.33%,1500
104,Galvantula,1.07%,54405,1.41%,47162,1.59%,1500
105,Volcanion,1.06%,46222,1.20%,36462,1.23%,1500
106,Slowbro,1.06%,38183,0.99%,29731,1.00%,1500
107,Espeon,1.04%,60976,1.58%,45794,1.55%,1500
