,Name,usage_weighed,raw_unweighed,usage_unweighed,raw_real,usage_real,elo
1,LandorusTherian,43.89%,1078878,27.93%,924182,31.18%,1695
2,Magearna,24.30%,460966,11.93%,365692,12.34%,1695
3,Ferrothorn,18.41%,622497,16.11%,528861,17.84%,1695
4,GreninjaAsh,17.57%,622135,16.10%,450394,15.19%,1695
5,TapuKoko,17.27%,556308,14.40%,441526,14.89%,1695
6,Kartana,16.82%,459418,11.89%,335305,11.31%,1695
7,Heatran,16.15%,519057,13.44%,425595,14.36%,1695
8,TornadusTherian,14.85%,327186,8.47%,254151,8.57%,1695
9,TapuLele,13.32%,360798,9.34%,269636,9.10%,1695
10,Toxapex,11.93%,378874,9.81%,293460,9.90%,1695
11,RotomWash,11.74%,389012,10.07%,327094,11.03%,1695
12,Zapdos,11.04%,352723,9.13%,282469,9.53%,1695
13,TapuFini,11.04%,289341,7.49%,236306,7.97%,1695
14,TapuBulu,10.48%,264035,6.84%,202819,6.84%,1695
15,Garchomp,9.75%,386533,10.01%,304549,10.27%,1695
16,MawileMega,9.72%,208587,5.40%,153443,5.18%,1695
17,Excadrill,9.51%,293510,7.60%,226991,7.66%,1695
18,Greninja,9.24%,331708,8.59%,251144,8.47%,1695
19,Victini,9.18%,238245,6.17%,183090,6.18%,1695
20,Serperior,8.98%,354944,9.19%,259342,8.75%,1695
21,Chansey,8.97%,289916,7.51%,218168,7.36%,1695
22,Hawlucha,8.72%,249893,6.47%,169748,5.73%,1695
23,MedichamMega,8.45%,197380,5.11%,154997,5.23%,1695
24,Clefable,8.29%,232944,6.03%,171312,5.78%,1695
25,Kommoo,7.44%,222277,5.75%,163540,5.52%,1695
26,Pelipper,7.23%,215281,5.57%,197045,6.65%,1695
27,Gliscor,7.23%,359879,9.32%,279615,9.43%,1695
28,SwampertMega,7.14%,215105,5.57%,174264,5.88%,1695
29,ScizorMega,6.90%,192410,4.98%,147320,4.97%,1695
30,LopunnyMega,6.80%,236838,6.13%,182315,6.15%,1695
31,Volcarona,6.74%,290687,7.53%,208263,7.03%,1695
32,Celesteela,6.63%,266537,6.90%,210850,7.11%,1695
33,Magnezone,6.43%,236927,6.13%,184888,6.24%,1695
34,Skarmory,6.26%,204396,5.29%,170020,5.74%,1695
35,Tangrowth,5.59%,192597,4.99%,148587,5.01%,1695
36,KyuremBlack,5.43%,184827,4.78%,136624,4.61%,1695
